,train_loss,valid_loss,best_valid_loss,timestamp,checkpoint_dir_name,should_checkpoint,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/batch_size,config/learning_rate,config/down_sampling_method,config/d_model,config/decomp_method,config/moving_avg,config/e_layers,config/dropout,config/d_ff,config/alpha_d_ff,logdir
39,0.406322555066982,0.9946928142259518,0.9938189468923069,1724508359,checkpoint_000007,True,False,8,d081802f,2024-08-24_16-05-59,10.484004259109497,87.73770713806152,1155533,antonio,192.168.1.144,87.73770713806152,8,16,0.0012097657749695666,conv,128,moving_avg,55.0,1,0.11450445956529968,256,2,d081802f
40,0.4015820017262894,0.9875411160645031,0.9871578924357891,1724508413,checkpoint_000007,True,True,8,abd79ae8,2024-08-24_16-06-53,10.031715154647827,74.94329333305359,1156379,antonio,192.168.1.144,74.94329333305359,8,32,0.001047433259968398,conv,64,dft_decomp,,3,0.07469270624020742,192,3,abd79ae8
41,97453140143871.19,81096108336.7619,1.0563362505109537,1724508452,checkpoint_000001,True,False,2,49f1d5a6,2024-08-24_16-07-32,39.107179403305054,91.15516686439514,1156882,antonio,192.168.1.144,91.15516686439514,2,16,0.004044769368012603,conv,256,moving_avg,55.0,4,0.08149721152697212,1024,4,49f1d5a6
42,0.4581633787388089,1.0335080362856388,1.0335080362856388,1724508435,checkpoint_000001,True,False,2,63ac23a8,2024-08-24_16-07-15,9.732253551483154,20.445774793624878,1157617,antonio,192.168.1.144,20.445774793624878,2,16,0.000660102159235081,conv,64,dft_decomp,,1,0.07098678299786555,256,4,63ac23a8
43,0.3824062184127355,1.0232054537960462,0.9912857143651872,1724508609,checkpoint_000005,True,False,6,ce3aa583,2024-08-24_16-10-09,6.741324424743652,43.13533592224121,1159147,antonio,192.168.1.144,29.255380868911743,4,32,0.0021316692204827728,avg,16,moving_avg,25.0,4,0.06477033598560059,64,4,ce3aa583
44,34.22174001927577,1.4408099431367147,1.196898038543406,1724508578,checkpoint_000001,True,True,2,744c12ff,2024-08-24_16-09-38,61.85316872596741,124.3141405582428,1158213,antonio,192.168.1.144,124.3141405582428,2,32,0.0020515821273217366,conv,512,moving_avg,15.0,2,0.09015445236869958,2048,4,744c12ff
45,0.41618992325446613,0.9927638260026773,0.9927638260026773,1724508673,checkpoint_000003,True,True,4,0ae59d42,2024-08-24_16-11-13,30.325477123260498,122.88560581207275,1159635,antonio,192.168.1.144,61.82282304763794,2,32,0.001578898680043786,avg,512,dft_decomp,,1,0.06818416393235435,1024,2,0ae59d42
46,1.0473870394773419e+21,6.904682284042335e+19,1.2007866377631824,1724508700,checkpoint_000001,True,True,2,4e29cdb9,2024-08-24_16-11-40,88.10240054130554,181.68670964241028,1158820,antonio,192.168.1.144,181.68670964241028,2,32,0.011527180377974103,avg,512,dft_decomp,,4,0.11212325770814631,1536,3,4e29cdb9
47,0.37337622743000015,1.0440508563603674,1.0013461199899514,1724508703,checkpoint_000007,True,False,8,653cd73a,2024-08-24_16-11-43,1.9482901096343994,28.40605068206787,1160092,antonio,192.168.1.144,28.40605068206787,8,32,0.010361935560553254,avg,16,moving_avg,15.0,1,0.0831212522287862,48,3,653cd73a
48,0.4265240227582354,0.9995658449119046,0.9995658449119046,1724508744,checkpoint_000007,True,False,8,e5c216a1,2024-08-24_16-12-24,5.352388381958008,41.173216581344604,1160820,antonio,192.168.1.144,41.173216581344604,8,32,0.0005337887888606799,conv,32,moving_avg,75.0,2,0.061946538160938175,96,3,e5c216a1
49,0.4002589597099129,0.9945647244652113,0.9887483877440294,1724508765,checkpoint_000007,True,True,8,f58c3415,2024-08-24_16-12-45,7.549582242965698,59.102320432662964,1160973,antonio,192.168.1.144,59.102320432662964,8,32,0.010018115129113067,avg,64,moving_avg,25.0,3,0.09230159806643158,256,4,f58c3415
50,0.3726344370065521,1.0621547220008714,1.0067383401273262,1724508957,checkpoint_000005,True,True,6,6f13c082,2024-08-24_16-15-57,16.739509344100952,91.52922034263611,1164506,antonio,192.168.1.144,64.59158945083618,4,16,0.00280693312135689,avg,128,dft_decomp,,2,0.12895158540643908,256,2,6f13c082
51,0.666064486649758,1.0172596741467714,1.0172596741467714,1724508820,checkpoint_000001,True,False,2,8c103499,2024-08-24_16-13-40,24.470970630645752,53.374760150909424,1162525,antonio,192.168.1.144,53.374760150909424,2,16,0.0015183762604906719,avg,256,moving_avg,25.0,3,0.06552338457524588,768,3,8c103499
52,0.4562514260468355,1.0101690756245738,1.0101690756245738,1724508801,checkpoint_000001,True,False,2,ef7c6d5c,2024-08-24_16-13-21,12.425313949584961,26.448471307754517,1162694,antonio,192.168.1.144,26.448471307754517,2,16,0.0006652072243374324,conv,128,moving_avg,55.0,1,0.11487234663089657,512,4,ef7c6d5c
53,0.453518355351228,1.014539822226479,1.014539822226479,1724508808,checkpoint_000001,True,False,2,c4930a18,2024-08-24_16-13-28,1.5168907642364502,3.9315714836120605,1163081,antonio,192.168.1.144,3.9315714836120605,2,64,0.003498701097869623,avg,8,moving_avg,75.0,1,0.12196564902865202,32,4,c4930a18
54,0.37802897228135,1.0328626505853165,1.0013598425402528,1724508891,checkpoint_000005,True,False,6,20abe60e,2024-08-24_16-14-51,13.909448385238647,81.31713891029358,1163319,antonio,192.168.1.144,81.31713891029358,6,16,0.0018726330164389438,conv,8,dft_decomp,,4,0.0849397366754615,32,4,20abe60e
